company,applied,type
Apple Cart,8/27/2018,Data Analyst
Uber,8/27/2018,Product Manager
Urban Labs,9/4/2018,Policy Analyst
Palantir,9/4/2018,Software Engineer
Palantir,9/4/2018,Software Engineer
Etsy,9/4/2018,Data Scientist
New York Times,9/4/2018,Data Engineer
Grub Hub,9/4/2018,Data Analyst
Jane Street,9/4/2018,Software Engineer
Jane Street,9/4/2018,Software Engineer
Google,9/5/2018,UX Researcher
DuoLingo,9/5/2018,Software Engineer
Citadel,9/5/2018,Data Analyst
Google,9/5/2018,Data Scientist
Stitchfix,9/6/2018,Data Scientist
Deloitte,9/6/2018,Consultant
Etsy,9/7/2018,UX Researcher
Google,9/8/2018,Software Engineer
Daily Harvest,9/10/2018,Data Scientist
Compstak,9/10/2018,Data Analyst
Casper,9/10/2018,Data Analyst
Konrad,9/12/2018,Consultant
Accenture,9/12/2018,Consultant
West Monroe,9/13/2018,Consultant
BNY Mellon,9/13/2018,Data Analyst
Bloomberg,9/13/2018,Data Analyst
Facebook,9/14/2018,Software Engineer
Microsoft,9/14/2018,Data Scientist
Thomas,9/17/2018,Data Scientist
WeWork,9/17/2018,Data Analyst
New York Public Radio,9/17/2018,Data Analyst
HRT,9/26/2018,Software Engineer
HRT,9/26/2018,Software Engineer
Glossier,10/11/2018,Data Engineer
Rent the Runway,10/11/2018,Data Scientist
New York Times,10/12/2018,Data Scientist
New York Times,10/12/2018,Data Analyst
Buzzfeed,10/12/2018,Data Analyst
StreetEasy,10/12/2018,Data Analyst
Havas,10/18/2018,Data Analyst
Harry's,10/29/2018,Data Engineer
The Skimm,10/29/2018,Data Analyst
IBM,10/29/2018,Data Scientist
SalesForce,10/29/2018,Data Analyst
Mackey & Guasco Staffing,10/29/2018,Data Analyst
State Street,10/29/2018,Data Analyst
RapidRatings,10/29/2018,Data Analyst
Google,10/29/2018,Data Analyst
Goldman Sachs,10/29/2018,Data Analyst
New York District Attorney,10/29/2018,Policy Analyst
DataCamp,10/29/2018,Product Manager
Spotify,10/29/2018,Data Scientist
Foot  Locker,10/30/2018,Data Scientist
Twitter,11/1/2018,Data Scientist
TownSquare,11/7/2018,Data Analyst
Flatiron,11/7/2018,Software Engineer
GuidePoint,11/7/2018,Data Scientist
