company,applied,type
Apple Cart,8/27/2018,Data\nAnalyst
Uber,8/27/2018,Product\nManager
Urban Labs,9/4/2018,Policy\nAnalyst
Palantir,9/4/2018,Software\nEngineer
Palantir,9/4/2018,Software\nEngineer
Etsy,9/4/2018,Data\nScientist
New York Times,9/4/2018,Data\nEngineer
Grub Hub,9/4/2018,Data\nAnalyst
Jane Street,9/4/2018,Software\nEngineer
Jane Street,9/4/2018,Software\nEngineer
Google,9/5/2018,UX\nResearcher
DuoLingo,9/5/2018,Software\nEngineer
Citadel,9/5/2018,Data\nAnalyst
Google,9/5/2018,Data\nScientist
Stitchfix,9/6/2018,Data\nScientist
Deloitte,9/6/2018,Consultant
Etsy,9/7/2018,UX\nResearcher
Google,9/8/2018,Software\nEngineer
Daily Harvest,9/10/2018,Data\nScientist
Compstak,9/10/2018,Data\nAnalyst
Casper,9/10/2018,Data\nAnalyst
Konrad,9/12/2018,Consultant
Accenture,9/12/2018,Consultant
West Monroe,9/13/2018,Consultant
BNY Mellon,9/13/2018,Data\nAnalyst
Bloomberg,9/13/2018,Data\nAnalyst
Facebook,9/14/2018,Software\nEngineer
Microsoft,9/14/2018,Data\nScientist
Thomas,9/17/2018,Data\nScientist
WeWork,9/17/2018,Data\nAnalyst
New York Public Radio,9/17/2018,Data\nAnalyst
HRT,9/26/2018,Software\nEngineer
HRT,9/26/2018,Software\nEngineer
Glossier,10/11/2018,Data\nEngineer
Rent the Runway,10/11/2018,Data\nScientist
New York Times,10/12/2018,Data\nScientist
New York Times,10/12/2018,Data\nAnalyst
Buzzfeed,10/12/2018,Data\nAnalyst
StreetEasy,10/12/2018,Data\nAnalyst
Havas,10/18/2018,Data\nAnalyst
Harry's,10/29/2018,Data\nEngineer
The Skimm,10/29/2018,Data\nAnalyst
IBM,10/29/2018,Data\nScientist
SalesForce,10/29/2018,Data\nAnalyst
Mackey & Guasco Staffing,10/29/2018,Data\nAnalyst
State Street,10/29/2018,Data\nAnalyst
RapidRatings,10/29/2018,Data\nAnalyst
Google,10/29/2018,Data\nAnalyst
Goldman Sachs,10/29/2018,Data\nAnalyst
New York District Attorney,10/29/2018,Policy\nAnalyst
DataCamp,10/29/2018,Product\nManager
Spotify,10/29/2018,Data\nScientist
Foot  Locker,10/30/2018,Data\nScientist
Twitter,11/1/2018,Data\nScientist
TownSquare,11/7/2018,Data\nAnalyst
Flatiron,11/7/2018,Software\nEngineer
GuidePoint,11/7/2018,Data\nScientist
